time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T18:13:42.019Z,38.164,-117.8774,5.4,0.3,ml,4,190.69,0.069,0.1218,nn,nn00838566,2022-05-09T21:20:15.361Z,"32 km SE of Mina, Nevada",earthquake,,6.3,0.02,2,reviewed,nn,nn
2022-05-09T18:03:31.230Z,38.8336678,-122.7914963,1.73,0.46,md,11,85,0.004819,0.01,nc,nc73731356,2022-05-09T18:58:15.485Z,"6km WNW of Cobb, CA",earthquake,0.32,0.48,0.39,2,automatic,nc,nc
2022-05-09T17:54:01.490Z,54.9885,-157.5501,0.2,3.2,ml,,,,0.63,ak,ak0225xmrqiz,2022-05-09T18:18:19.863Z,"143 km SE of Perryville, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2022-05-09T17:36:53.950Z,33.8275,-117.4793333,-0.63,1.39,ml,33,45,0.03029,0.24,ci,ci40254896,2022-05-09T18:12:13.172Z,"7km SE of Home Gardens, CA",quarry blast,0.4,31.61,0.211,20,reviewed,ci,ci
2022-05-09T17:27:58.470Z,38.8371658,-122.8116684,1.73,1.08,md,21,58,0.01381,0.02,nc,nc73731351,2022-05-09T18:35:21.338Z,"8km WNW of Cobb, CA",earthquake,0.21,0.59,0.14,2,automatic,nc,nc
2022-05-09T17:27:46.480Z,38.8363342,-122.8113327,1.86,1,md,22,56,0.01296,0.02,nc,nc73731346,2022-05-09T18:24:14.279Z,"8km WNW of Cobb, CA",earthquake,0.19,0.64,0.24,2,automatic,nc,nc
2022-05-09T17:27:24.860Z,35.6796667,-117.5375,7.31,1.46,ml,24,82,0.1114,0.18,ci,ci40254888,2022-05-09T17:56:19.163Z,"14km ENE of Ridgecrest, CA",earthquake,0.28,0.77,0.095,19,reviewed,ci,ci
2022-05-09T17:26:14.567Z,64.3996,-146.7873,12.6,0.8,ml,,,,0.6,ak,ak0225xmlqpv,2022-05-09T17:28:37.681Z,"9 km WNW of Harding-Birch Lakes, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-09T17:19:36.650Z,38.8236656,-122.7990036,2.05,0.84,md,13,69,0.008652,0.02,nc,nc73731341,2022-05-09T18:13:15.369Z,"6km NW of The Geysers, CA",earthquake,0.38,0.62,,1,automatic,nc,nc
2022-05-09T17:04:18.520Z,38.1568,-117.8685,3.3,1.7,ml,7,164.17,0.074,0.0636,nn,nn00838545,2022-05-09T17:24:45.573Z,"33 km SE of Mina, Nevada",earthquake,,3.8,0.05,3,reviewed,nn,nn
2022-05-09T17:02:08.440Z,19.0196666717529,-155.404495239258,34.4900016784668,2.06999993,md,40,217,,0.129999995,hv,hv73007387,2022-05-09T17:05:21.100Z,"19 km ESE of Naalehu, Hawaii",earthquake,0.78,1,0.829999983,6,automatic,hv,hv
2022-05-09T16:57:42.159Z,37.8078,141.8824,56.56,4.5,mb,,174,3.044,0.27,us,us7000h85m,2022-05-09T18:40:06.040Z,"84 km SE of Ishinomaki, Japan",earthquake,8.8,8.7,0.115,25,reviewed,us,us
2022-05-09T16:45:52.813Z,18.515,-73.6521,10,4.3,mb,,83,1.967,0.25,us,us7000h85j,2022-05-09T17:00:51.040Z,"3 km NNW of Baradères, Haiti",earthquake,4.2,2,0.306,3,reviewed,us,us
2022-05-09T16:44:10.320Z,38.8251648,-122.765831,1.75,0.87,md,18,124,0.006184,0.03,nc,nc73731336,2022-05-09T17:30:14.952Z,"4km W of Cobb, CA",earthquake,0.25,0.4,0.11,4,automatic,nc,nc
2022-05-09T16:41:51.900Z,38.8296661,-122.8115005,2.2,0.85,md,15,45,0.00636,0.02,nc,nc73731331,2022-05-09T17:19:15.888Z,"8km NW of The Geysers, CA",earthquake,0.28,0.8,,1,automatic,nc,nc
2022-05-09T16:32:16.204Z,67.5246,-152.0008,0,1.3,ml,,,,1.25,ak,ak0225xm1lj2,2022-05-09T16:35:55.803Z,"69 km S of Anaktuvuk Pass, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-09T16:31:44.480Z,34.2626667,-118.6278333,9.94,1.46,ml,18,123,0.04208,0.14,ci,ci40254848,2022-05-09T17:48:57.144Z,"2km WNW of Chatsworth, CA",earthquake,0.31,0.72,0.161,16,reviewed,ci,ci
2022-05-09T16:31:00.260Z,19.1613330841064,-155.490325927734,36.0299987792969,1.96000004,md,29,207,,0.140000001,hv,hv73007357,2022-05-09T16:34:09.830Z,"4 km SSW of Pāhala, Hawaii",earthquake,1.29,1.51999998,1.96000004,4,automatic,hv,hv
2022-05-09T16:24:11.020Z,17.962,-67.0095,19.12,2.12,md,8,184,,0.31,pr,pr71348083,2022-05-09T16:42:38.310Z,"4 km ESE of La Parguera, Puerto Rico",earthquake,1.6,0.85,0.0840630834656499,3,reviewed,pr,pr
